fisier,pitch,nota
A5_8_f_prag11db.wav,882.0,A5
A5_9_f_prag11db.wav,882.0,A5
A5_f_prag11db.wav,882.0,A5
B3_10_f_prag11db.wav,247.75280898876406,B3
B3_2_f_prag11db.wav,123.87640449438203,B2
B3_3_f_prag11db.wav,247.75280898876406,B3
B3_4_f_prag11db.wav,247.75280898876406,B3
B3_5_f_prag11db.wav,247.75280898876406,B3
B3_6_f_prag11db.wav,247.75280898876406,B3
B3_7_f_prag11db.wav,247.75280898876406,B3
B3_8_f_prag11db.wav,247.75280898876406,B3
B3_9_f_prag11db.wav,247.75280898876406,B3
B3_f_prag11db.wav,247.75280898876406,B3
B4_10_f_prag11db.wav,501.1363636363636,B4
B4_2_f_prag11db.wav,98.87892376681614,G2
B4_4_f_prag11db.wav,501.1363636363636,B4
B4_5_f_prag11db.wav,490.0,B4
B4_6_f_prag11db.wav,501.1363636363636,B4
B4_7_f_prag11db.wav,501.1363636363636,B4
B4_8_f_prag11db.wav,247.75280898876406,B3
B4_9_f_prag11db.wav,490.0,B4
B4_f_prag11db.wav,501.1363636363636,B4
B4_v1_f_prag11db.wav,490.0,B4
B4_v2_f_prag11db.wav,490.0,B4
B5_10_f_prag11db.wav,1002.2727272727273,B5
B5_2_f_prag11db.wav,1002.2727272727273,B5
B5_3_f_prag11db.wav,1002.2727272727273,B5
B5_4_f_prag11db.wav,1002.2727272727273,B5
B5_5_f_prag11db.wav,1002.2727272727273,B5
B5_6_f_prag11db.wav,1002.2727272727273,B5
B5_7_f_prag11db.wav,1002.2727272727273,B5
B5_8_f_prag11db.wav,1002.2727272727273,B5
B5_9_f_prag11db.wav,1002.2727272727273,B5
B5_f_prag11db.wav,1002.2727272727273,B5
C3#_10_f_prag11db.wav,138.67924528301887,C#3
C3#_2_f_prag11db.wav,138.67924528301887,C#3
C3#_3_f_prag11db.wav,138.67924528301887,C#3
C3#_4_f_prag11db.wav,139.55696202531647,C#3
C3#_5_f_prag11db.wav,138.67924528301887,C#3
C3#_6_f_prag11db.wav,138.67924528301887,C#3
C3#_7_f_prag11db.wav,138.67924528301887,C#3
C3#_8_f_prag11db.wav,138.67924528301887,C#3
C3#_9_f_prag11db.wav,138.67924528301887,C#3
C3#_f_prag11db.wav,138.67924528301887,C#3
C3_10_f_prag11db.wav,131.25,C3
C3_2_f_prag11db.wav,130.47337278106508,C3
C3_3_f_prag11db.wav,131.25,C3
C3_4_f_prag11db.wav,131.25,C3
C3_5_f_prag11db.wav,131.25,C3
C3_6_f_prag11db.wav,131.25,C3
C3_7_f_prag11db.wav,131.25,C3
C3_8_f_prag11db.wav,131.25,C3
C3_9_f_prag11db.wav,131.25,C3
C3_f_prag11db.wav,131.25,C3
C4#_10_f_prag11db.wav,279.11392405063293,C#4
C4#_2_f_prag11db.wav,138.67924528301887,C#3
C4#_3_f_prag11db.wav,279.11392405063293,C#4
C4#_4_f_prag11db.wav,279.11392405063293,C#4
C4#_5_f_prag11db.wav,279.11392405063293,C#4
C4#_6_f_prag11db.wav,279.11392405063293,C#4
C4#_7_f_prag11db.wav,279.11392405063293,C#4
C4#_8_f_prag11db.wav,275.625,C#4
C4#_9_f_prag11db.wav,279.11392405063293,C#4
C4#_f_prag11db.wav,279.11392405063293,C#4
C4#_v1_f_prag11db.wav,279.11392405063293,C#4
C4#_v2_f_prag11db.wav,310.5633802816901,D#4
C4_10_f_prag11db.wav,262.5,C4
C4_2_f_prag11db.wav,131.25,C3
C4_3_f_prag11db.wav,262.5,C4
C4_4_f_prag11db.wav,262.5,C4
C4_5_f_prag11db.wav,262.5,C4
C4_6_f_prag11db.wav,262.5,C4
C4_7_f_prag11db.wav,262.5,C4
C4_8_f_prag11db.wav,262.5,C4
C4_9_f_prag11db.wav,262.5,C4
C4_f_prag11db.wav,262.5,C4
C4_v1_f_prag11db.wav,265.66265060240966,C4
C4_v2_f_prag11db.wav,268.9024390243902,C4
C5#_10_f_prag11db.wav,565.3846153846154,C#5
C5#_2_f_prag11db.wav,551.25,C#5
C5#_3_f_prag11db.wav,551.25,C#5
C5#_4_f_prag11db.wav,565.3846153846154,C#5
C5#_5_f_prag11db.wav,551.25,C#5
C5#_6_f_prag11db.wav,565.3846153846154,C#5
C5#_7_f_prag11db.wav,551.25,C#5
C5#_8_f_prag11db.wav,551.25,C#5
C5#_9_f_prag11db.wav,551.25,C#5
C5#_f_prag11db.wav,565.3846153846154,C#5
C5_10_f_prag11db.wav,525.0,C5
C5_2_f_prag11db.wav,525.0,C5
C5_3_f_prag11db.wav,525.0,C5
C5_4_f_prag11db.wav,525.0,C5
C5_5_f_prag11db.wav,525.0,C5
C5_6_f_prag11db.wav,525.0,C5
C5_7_f_prag11db.wav,525.0,C5
C5_8_f_prag11db.wav,525.0,C5
C5_9_f_prag11db.wav,525.0,C5
C5_f_prag11db.wav,525.0,C5
C6_10_f_prag11db.wav,1050.0,C6
C6_2_f_prag11db.wav,1050.0,C6
C6_3_f_prag11db.wav,1050.0,C6
C6_4_f_prag11db.wav,1050.0,C6
C6_5_f_prag11db.wav,1050.0,C6
C6_6_f_prag11db.wav,1050.0,C6
C6_7_f_prag11db.wav,1050.0,C6
C6_8_f_prag11db.wav,1050.0,C6
C6_9_f_prag11db.wav,1050.0,C6
C6_f_prag11db.wav,1050.0,C6
D3#_10_f_prag11db.wav,156.38297872340425,D#3
D3#_2_f_prag11db.wav,155.28169014084506,D#3
D3#_3_f_prag11db.wav,156.38297872340425,D#3
D3#_4_f_prag11db.wav,156.38297872340425,D#3
D3#_5_f_prag11db.wav,155.28169014084506,D#3
D3#_6_f_prag11db.wav,156.38297872340425,D#3
D3#_7_f_prag11db.wav,156.38297872340425,D#3
D3#_8_f_prag11db.wav,155.28169014084506,D#3
D3#_9_f_prag11db.wav,155.28169014084506,D#3
D3#_f_prag11db.wav,156.38297872340425,D#3
D3_10_f_prag11db.wav,147.0,D3
D3_2_f_prag11db.wav,147.0,D3
D3_3_f_prag11db.wav,147.0,D3
D3_4_f_prag11db.wav,147.0,D3
D3_5_f_prag11db.wav,147.0,D3
D3_6_f_prag11db.wav,147.0,D3
D3_7_f_prag11db.wav,147.0,D3
D3_8_f_prag11db.wav,147.0,D3
D3_9_f_prag11db.wav,147.0,D3
D3_f_prag11db.wav,147.0,D3
D4#_10_f_prag11db.wav,310.5633802816901,D#4
D4#_2_f_prag11db.wav,103.52112676056338,G#2
D4#_3_f_prag11db.wav,310.5633802816901,D#4
D4#_4_f_prag11db.wav,310.5633802816901,D#4
D4#_5_f_prag11db.wav,310.5633802816901,D#4
D4#_6_f_prag11db.wav,310.5633802816901,D#4
